question_id,question_number,question_text,question_file
0625_m15_qp_12_01,1,"A student uses a measuring cylinder to measure the volume of some water. The diagram shows part of the measuring cylinder. The top and bottom of the meniscus are labelled.  
504540
top of meniscusbottomof meniscuscm3
  What is the volume of the water? A 47.0
 cm3 B 47.5  cm3 C 49.0  cm3 D 49.5  cm3 ",0625_m15_qp_12
0625_m15_qp_12_02,2,"The graph represents the motion of a train travelling between two stations.  
00100 200 300 400 5002010
600 700 800 900speedm
 / s
time
 / s  Which statement about the train is correct? A Its acceleration takes a longer time than its deceleration. B It travels at constant speed for less than half of its journey time. C It travels 2000
 m in the first 100  s. D It travels 10
 000  m at constant speed.     © UCLES 2015 0625/12/F/M/15 [Turn over",0625_m15_qp_12
0625_m15_qp_12_03,3,"A car travels 6.0  km along a main road in 6.0 minutes. It then travels 2.0  km along a minor road in 6.0 minutes.  
mainroadminorroad 6.0 km6.0 minutes2.0
 km6.0 minutes
  Which calculation of average speed for the whole journey is correct? A 8.0 ÷ 12.0 = 0.67
 km  / minute B 12.0 ÷ 8.0 = 1.5
 km  / minute C 8.0 + 12.0 = 20
 km  / minute D 8.0 × 12.0 = 96
 km  / minute ",0625_m15_qp_12
0625_m15_qp_12_04,4,"Two metal blocks P and Q have identical dimensions. They hang on identical spring balances.  
0
1
2
3
4
65N0
1
2
3
4
65N
P
Q  What can be deduced about P and Q? A They have different volumes and different weights. B They have different volumes, but equal masses. C They have equal volumes and equal weights. D They have equal volumes, but different masses.     © UCLES 2015 0625/12/F/M/15",0625_m15_qp_12
0625_m15_qp_12_05,5,"A person measures the length, width, height and mass of a metal block with rectangular sides.  Which of these measurements must be used in order to calculate the density of the metal? A mass only B height and mass only C length, width and height only D length, width, height and mass ",0625_m15_qp_12
0625_m15_qp_12_06,6,"The diagram shows the only three forces acting on an object.  
5.0  N 3.0 N2.0
 N  What is the resultant force on the object? A 0
 N B 5.0
 N towards the left C 5.0
 N towards the right D 10.0
 N towards the right ",0625_m15_qp_12
0625_m15_qp_12_07,7,"A uniform rod rests on a pivot at its centre. The rod is not attached to the pivot. Forces are then applied to the rod in four different ways, as shown. The weight of the rod can be ignored.  Which diagram shows the rod in equilibrium?  
A
100  N
100  NB
100  N 100  N
C100  N 100  N
D
100  N 100  N100 N
     © UCLES 2015 0625/12/F/M/15 [Turn over",0625_m15_qp_12
0625_m15_qp_12_08,8,A helicopter takes off from the ground and rises vertically. It then hovers at a constant height above the ground.  Which sequence of energy changes takes place during the gain in height? A chemical → gravitational potential → kinetic B chemical → kinetic → gravitational potential C gravitational potential → chemical → kinetic D kinetic → chemical → gravitational potential ,0625_m15_qp_12
0625_m15_qp_12_09,9,"Four people of equal weight on a beach use different routes to get to the top of a sea wall.  
beachslipway laddersea wall
  Which person produces the greatest average power?  person route time taken
 / s 
A runs across the beach, then climbs the ladder  B walks across the beach, then climbs the ladder 1 C runs up the slipway  D walks up the slipway  ",0625_m15_qp_12
0625_m15_qp_12_10,10,A vehicle sinks into soft ground.   The vehicle is changed so that it does not sink as far.  Which change is made? A a lower centre of mass B a more powerful engine C wheels that are further apart D wider tyres     © UCLES 2015 0625/12/F/M/15,0625_m15_qp_12
0625_m15_qp_12_11,11,"A manometer is used to measure the pressure of a gas trapped in a cylinder.  At which labelled point on the diagram is the pressure greatest?  
gascylinder
ACD
B
 ",0625_m15_qp_12
0625_m15_qp_12_12,12,Extremely small pollen grains in water are viewed through a microscope. The grains are seen to move continually and randomly.  What is the reason for this random movement? A The grains are moved by randomly moving water molecules. B The grains are moved by random convection currents in the water. C The grains are moved by random rays of light reflecting off them. D The grains are moved by the random motion of their own atoms. ,0625_m15_qp_12
0625_m15_qp_12_13,13,"A gas is compressed in a sealed cylinder by moving a piston.  
gasinitial positionpiston
gasafter gas has been compressedpiston
  Which row in the table states what happens to t he density of the gas and to the pressure of the gas when it is compressed?   density pressure 
A decreases decreases 
B decreases increases 
C increases decreases 
D increases increases   © UCLES 2015 0625/12/F/M/15 [Turn over",0625_m15_qp_12
0625_m15_qp_12_14,14,"When steam condenses it becomes liquid water. When liquid water solidifies it becomes ice.  What happens to the temperature of steam while  it is condensing, and what happens to the temperature of water while it is solidifying?   temperature of steam while it is condensing temperature of water while it is solidifying 
A decreases decreases 
B decreases stays the same 
C stays the same decreases 
D stays the same stays the same 
",0625_m15_qp_12
0625_m15_qp_12_15,15,"A thermometer has graduations which start at –10
 °C and end at 110  °C.  
–10 0 100 110 °C
  What is the lower fixed point and what is the upper fixed point of the Celsius scale?   lower fixed point /
 °C upper fixed point /  °C 
A –10 100 
B –10 1 C 0 100 
D 0 1 ",0625_m15_qp_12
0625_m15_qp_12_16,16,What is the name of the process of heat transfer using electromagnetic waves? A conduction B convection C evaporation D radiation     © UCLES 2015 0625/12/F/M/15,0625_m15_qp_12
